tar_lum,mat_lum,bg_tar,bg_mat
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.024700247002470026,gray,gray
0,0.0,gray,gray
0,0.004550045500455005,gray,gray
0,0.0,gray,gray
0,0.00910009100091001,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.001950019500195002,gray,gray
0,0.027300273002730028,gray,gray
0,0.007150071500715007,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.033150331503315034,gray,gray
0,0.007150071500715007,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.011050110501105012,gray,gray
0,0.0,gray,gray
0,0.007800078000780008,gray,gray
0,0.0,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0006500065000650006,gray,gray
0,0.001950019500195002,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0,gray,gray
0,0.042900429004290044,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.02080020800208002,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.001950019500195002,gray,gray
0,0.0006500065000650006,gray,gray
0,0.01040010400104001,gray,gray
0,0.024050240502405024,gray,gray
0,0.0,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0,gray,gray
0,0.001950019500195002,gray,gray
0,0.01040010400104001,gray,gray
0,0.0,gray,gray
0,0.013650136501365014,gray,gray
0,0.0,gray,gray
0,0.021450214502145022,gray,gray
0,0.0,gray,gray
0,0.007800078000780008,gray,gray
0,0.00910009100091001,gray,gray
0,0.0,gray,gray
0,0.0013000130001300013,gray,gray
0,0.0013000130001300013,gray,gray
0,0.003900039000390004,gray,gray
0,0.0006500065000650006,gray,gray
0,0.014300143001430014,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.021450214502145022,gray,gray
0,0.006500065000650006,gray,gray
0,0.0006500065000650006,gray,gray
0,0.005850058500585006,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.012350123501235013,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.016900169001690016,gray,gray
0,0.014950149501495015,gray,gray
0,0.0,gray,gray
0,0.0013000130001300013,gray,gray
0,0.003250032500325003,gray,gray
0,0.0,gray,gray
0,0.014950149501495015,gray,gray
0,0.0,gray,gray
0,0.004550045500455005,gray,gray
0,0.0,gray,gray
0,0.057200572005720055,gray,gray
0,0.0,gray,gray
0,0.004550045500455005,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.00910009100091001,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
5,2.077420774207742,gray,gray
5,2.2366723667236674,gray,gray
5,1.961069610696107,gray,gray
5,2.905529055290553,gray,gray
5,2.254872548725487,gray,gray
5,2.5259252592525927,gray,gray
5,2.130721307213072,gray,gray
5,2.6370763707637077,gray,gray
5,1.8811188111881119,gray,gray
5,1.5554655546555465,gray,gray
5,2.4154241542415424,gray,gray
5,2.941279412794128,gray,gray
5,2.6032760327603275,gray,gray
5,1.6295662956629566,gray,gray
5,2.002670026700267,gray,gray
5,3.010180101801018,gray,gray
5,2.5987259872598725,gray,gray
5,2.3042730427304274,gray,gray
5,1.855118551185512,gray,gray
5,1.6594665946659466,gray,gray
5,2.6793267932679328,gray,gray
5,1.5262152621526215,gray,gray
5,2.6182261822618225,gray,gray
5,1.5652156521565215,gray,gray
5,2.324423244232442,gray,gray
5,2.3582235822358224,gray,gray
5,2.4388243882438823,gray,gray
5,2.2906229062290624,gray,gray
5,1.7342173421734217,gray,gray
5,3.120681206812068,gray,gray
5,2.2607226072260724,gray,gray
5,1.4599145991459914,gray,gray
5,2.855478554785548,gray,gray
5,1.7790677906779069,gray,gray
5,1.6945669456694568,gray,gray
5,1.6731167311673116,gray,gray
5,2.041020410204102,gray,gray
5,1.8525185251852518,gray,gray
5,1.7751677516775168,gray,gray
5,2.4186741867418675,gray,gray
5,2.3250732507325074,gray,gray
5,2.6695766957669576,gray,gray
5,2.895778957789578,gray,gray
5,2.076120761207612,gray,gray
5,2.3250732507325074,gray,gray
5,1.8336683366833668,gray,gray
5,2.4089240892408923,gray,gray
5,2.678026780267803,gray,gray
5,1.8232682326823269,gray,gray
5,2.7300273002730027,gray,gray
5,2.039070390703907,gray,gray
5,2.857428574285743,gray,gray
5,2.1339713397133973,gray,gray
5,2.6182261822618225,gray,gray
5,2.643576435764358,gray,gray
5,2.185971859718597,gray,gray
5,2.3712237122371222,gray,gray
5,2.3900739007390075,gray,gray
5,2.5018750187501877,gray,gray
5,2.3419734197341975,gray,gray
5,2.743027430274303,gray,gray
5,2.1281212812128123,gray,gray
5,1.6711667116671167,gray,gray
5,2.071570715707157,gray,gray
5,2.8561285612856127,gray,gray
5,2.5779257792577925,gray,gray
5,2.2919229192291923,gray,gray
5,2.5681756817568178,gray,gray
5,1.3864638646386465,gray,gray
5,1.8206682066820667,gray,gray
5,2.2646226462264623,gray,gray
5,2.7163771637716376,gray,gray
5,2.083270832708327,gray,gray
5,2.002020020200202,gray,gray
5,2.789177891778918,gray,gray
5,2.7599275992759926,gray,gray
5,1.954569545695457,gray,gray
5,2.3913739137391374,gray,gray
5,2.4836748367483676,gray,gray
5,1.5073650736507365,gray,gray
5,2.754727547275473,gray,gray
5,1.6016160161601616,gray,gray
5,2.5304753047530477,gray,gray
5,2.137871378713787,gray,gray
5,3.261732617326173,gray,gray
5,1.942219422194222,gray,gray
5,2.5311253112531125,gray,gray
5,2.3055730557305574,gray,gray
5,1.3065130651306514,gray,gray
5,2.2392723927239273,gray,gray
5,2.214572145721457,gray,gray
5,2.228222282222822,gray,gray
5,2.0182701827018272,gray,gray
5,1.7940179401794019,gray,gray
5,2.071570715707157,gray,gray
5,2.226922269222692,gray,gray
5,2.6487764877648776,gray,gray
5,2.205472054720547,gray,gray
5,1.9201192011920118,gray,gray
5,2.130071300713007,gray,gray
10,5.378803788037881,gray,gray
10,5.644656446564466,gray,gray
10,5.18250182501825,gray,gray
10,6.727567275672757,gray,gray
