tar_lum,mat_lum,bg_tar,bg_mat
0,0.0006500065000650006,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.05915059150591506,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.07345073450734507,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.13065130651306514,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.16900169001690016,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.12090120901209012,gray,gray
0,0.021450214502145022,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.2944529445294453,gray,gray
0,0.003900039000390004,gray,gray
0,0.0,gray,gray
0,0.024050240502405024,gray,gray
0,0.15535155351553515,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0949009490094901,gray,gray
0,0.0,gray,gray
0,0.014950149501495015,gray,gray
0,0.057200572005720055,gray,gray
0,0.0,gray,gray
0,0.007150071500715007,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0,gray,gray
0,0.013650136501365014,gray,gray
0,0.04550045500455004,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.12610126101261013,gray,gray
0,0.0,gray,gray
0,0.00910009100091001,gray,gray
0,0.0,gray,gray
0,0.014300143001430014,gray,gray
0,0.0,gray,gray
0,0.01040010400104001,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.042900429004290044,gray,gray
0,0.0,gray,gray
0,0.007800078000780008,gray,gray
0,0.0,gray,gray
0,0.021450214502145022,gray,gray
0,0.15275152751527515,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.06760067600676006,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.009750097500975009,gray,gray
0,0.02990029900299003,gray,gray
0,0.016900169001690016,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.040950409504095044,gray,gray
0,0.0,gray,gray
0,0.062400624006240066,gray,gray
0,0.0006500065000650006,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.08905089050890509,gray,gray
0,0.0,gray,gray
0,0.017550175501755017,gray,gray
0,0.01040010400104001,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.08190081900819009,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.00910009100091001,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
0,0.0,gray,gray
5,2.304923049230492,gray,gray
5,2.3029730297302975,gray,gray
5,1.4449644496444964,gray,gray
5,1.1355613556135562,gray,gray
5,3.2760327603276034,gray,gray
5,1.7205672056720567,gray,gray
5,2.2607226072260724,gray,gray
5,1.7420174201742018,gray,gray
5,1.8668186681866819,gray,gray
5,1.3331633316333162,gray,gray
5,0.5668056680566805,gray,gray
5,3.3988839888398883,gray,gray
5,2.224972249722497,gray,gray
5,1.7199171991719917,gray,gray
5,3.8038380383803836,gray,gray
5,2.2769727697276974,gray,gray
5,2.052070520705207,gray,gray
5,4.033940339403394,gray,gray
5,1.4865648656486565,gray,gray
5,0.7657076570765707,gray,gray
5,1.4982649826498264,gray,gray
5,3.7394873948739487,gray,gray
5,2.857428574285743,gray,gray
5,1.7816678166781668,gray,gray
5,2.149571495714957,gray,gray
5,1.3663136631366313,gray,gray
5,1.6230662306623067,gray,gray
5,1.5554655546555465,gray,gray
5,0.6188061880618806,gray,gray
5,1.3955639556395565,gray,gray
5,4.660546605466054,gray,gray
5,2.5057750577505775,gray,gray
5,2.113821138211382,gray,gray
5,2.894478944789448,gray,gray
5,3.953339533395334,gray,gray
5,1.210312103121031,gray,gray
5,1.1947119471194712,gray,gray
5,2.044270442704427,gray,gray
5,2.2379723797237974,gray,gray
5,1.096560965609656,gray,gray
5,3.5626856268562688,gray,gray
5,2.133321333213332,gray,gray
5,2.7540775407754077,gray,gray
5,3.2597825978259785,gray,gray
5,0.4797047970479705,gray,gray
5,2.601326013260133,gray,gray
5,2.300373003730037,gray,gray
5,1.1310113101131012,gray,gray
5,2.731977319773198,gray,gray
5,3.147331473314733,gray,gray
