tar_lum,mat_lum,bg_tar,bg_mat
1,0.0,gray,gray
1,0.007800078000780008,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.003900039000390004,gray,gray
1,0.0013000130001300013,gray,gray
1,0.21125211252112522,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.14105141051410514,gray,gray
1,0.003250032500325003,gray,gray
1,0.1976019760197602,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.07020070200702007,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.007150071500715007,gray,gray
1,0.017550175501755017,gray,gray
1,0.0,gray,gray
1,0.0006500065000650006,gray,gray
1,0.0,gray,gray
1,0.11505115051150512,gray,gray
1,0.0,gray,gray
1,0.009750097500975009,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.0988009880098801,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.05070050700507005,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.003900039000390004,gray,gray
1,0.003900039000390004,gray,gray
1,0.0013000130001300013,gray,gray
1,0.0026000260002600026,gray,gray
1,0.0,gray,gray
1,0.15990159901599016,gray,gray
1,0.0,gray,gray
1,0.006500065000650006,gray,gray
1,0.0,gray,gray
1,0.04550045500455004,gray,gray
1,0.0,gray,gray
1,0.006500065000650006,gray,gray
1,0.0,gray,gray
1,0.035100351003510034,gray,gray
1,0.0,gray,gray
1,0.005200052000520005,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.01885018850188502,gray,gray
1,0.062400624006240066,gray,gray
1,0.0,gray,gray
1,0.06565065650656507,gray,gray
1,0.14755147551475514,gray,gray
1,0.0,gray,gray
1,0.024700247002470026,gray,gray
1,0.0,gray,gray
1,0.013000130001300013,gray,gray
1,0.0,gray,gray
1,0.027300273002730028,gray,gray
1,0.013650136501365014,gray,gray
1,0.16770167701677016,gray,gray
1,0.03380033800338003,gray,gray
1,0.003250032500325003,gray,gray
1,0.0,gray,gray
1,0.01040010400104001,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.16315163151631518,gray,gray
1,0.0,gray,gray
1,0.10985109851098511,gray,gray
1,0.014300143001430014,gray,gray
1,0.004550045500455005,gray,gray
1,0.06370063700637006,gray,gray
1,0.08125081250812508,gray,gray
1,0.022100221002210024,gray,gray
1,0.2041020410204102,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.014300143001430014,gray,gray
1,0.013650136501365014,gray,gray
1,0.012350123501235013,gray,gray
1,0.0,gray,gray
1,0.033150331503315034,gray,gray
1,0.005200052000520005,gray,gray
1,0.0,gray,gray
1,0.004550045500455005,gray,gray
1,0.0,gray,gray
1,0.0,gray,gray
1,0.01885018850188502,gray,gray
1,0.07215072150721508,gray,gray
1,0.0,gray,gray
5,0.7137071370713707,gray,gray
5,1.3806138061380613,gray,gray
5,0.5882558825588255,gray,gray
5,0.36530365303653034,gray,gray
5,1.3091130911309112,gray,gray
5,1.2246122461224611,gray,gray
5,2.601326013260133,gray,gray
5,0.8684086840868409,gray,gray
5,0.45110451104511046,gray,gray
5,0.08385083850838508,gray,gray
5,2.304923049230492,gray,gray
5,1.2993629936299362,gray,gray
5,2.5473754737547374,gray,gray
5,0.6019060190601906,gray,gray
5,0.8567085670856709,gray,gray
5,1.9344193441934419,gray,gray
5,0.7436074360743608,gray,gray
5,0.9067590675906759,gray,gray
5,0.9269092690926909,gray,gray
5,1.3780137801378014,gray,gray
5,1.5210152101521015,gray,gray
5,0.7020070200702007,gray,gray
5,1.1849618496184962,gray,gray
5,0.6103561035610356,gray,gray
5,2.1794717947179474,gray,gray
5,0.24960249602496026,gray,gray
5,1.4131141311413113,gray,gray
5,0.9646096460964609,gray,gray
5,1.076410764107641,gray,gray
5,2.097570975709757,gray,gray
5,0.7553075530755308,gray,gray
5,0.4348543485434854,gray,gray
5,1.8037680376803769,gray,gray
5,0.7748077480774808,gray,gray
5,0.2639026390263903,gray,gray
5,0.4108041080410804,gray,gray
5,1.3110631106311064,gray,gray
5,1.3058630586305864,gray,gray
5,1.2278622786227862,gray,gray
5,1.2818128181281814,gray,gray
5,0.7735077350773508,gray,gray
5,2.3881238812388124,gray,gray
5,0.7442574425744257,gray,gray
5,1.3676136761367614,gray,gray
5,1.009460094600946,gray,gray
5,1.7667176671766718,gray,gray
5,0.7728577285772857,gray,gray
5,1.3643636436364364,gray,gray
5,0.6331063310633106,gray,gray
5,1.6874168741687416,gray,gray
5,0.9600596005960059,gray,gray
5,1.3370633706337063,gray,gray
5,0.6090560905609056,gray,gray
5,0.5323553235532356,gray,gray
5,1.5359653596535965,gray,gray
5,1.8856688566885669,gray,gray
5,0.3802538025380254,gray,gray
5,1.903869038690387,gray,gray
5,2.3341733417334174,gray,gray
5,0.7020070200702007,gray,gray
5,1.5938159381593815,gray,gray
5,1.115411154111541,gray,gray
5,1.4605646056460564,gray,gray
5,0.8183581835818358,gray,gray
5,1.6191661916619167,gray,gray
5,1.4716147161471616,gray,gray
5,2.4219242192421926,gray,gray
5,1.6757167571675717,gray,gray
5,1.2902629026290262,gray,gray
5,0.5018050180501805,gray,gray
5,1.4267642676426764,gray,gray
5,0.49205492054920547,gray,gray
5,0.35815358153581534,gray,gray
5,0.6077560775607757,gray,gray
5,0.8398083980839809,gray,gray
5,0.5908559085590855,gray,gray
5,2.4037240372403725,gray,gray
5,0.33475334753347535,gray,gray
5,2.152821528215282,gray,gray
5,1.4833148331483315,gray,gray
5,1.3253632536325364,gray,gray
5,1.892818928189282,gray,gray
5,2.000720007200072,gray,gray
5,1.5697656976569765,gray,gray
5,2.5733757337573375,gray,gray
5,0.8242082420824208,gray,gray
5,1.1368613686136861,gray,gray
5,1.4839648396483964,gray,gray
5,1.4690146901469014,gray,gray
5,1.4508145081450814,gray,gray
5,0.7611576115761157,gray,gray
5,1.6685666856668566,gray,gray
5,1.3416134161341613,gray,gray
5,0.11570115701157012,gray,gray
5,1.3162631626316263,gray,gray
5,1.030260302603026,gray,gray
5,0.7780577805778057,gray,gray
5,1.5346653466534665,gray,gray
5,1.945469454694547,gray,gray
5,0.33345333453334536,gray,gray
18,10.542455424554246,gray,gray
18,13.081380813808138,gray,gray
18,9.975649756497566,gray,gray
18,8.830338303383034,gray,gray
18,12.835678356783568,gray,gray
18,12.537325373253733,gray,gray
18,16.79616796167962,gray,gray
18,11.188561885618856,gray,gray
18,9.295742957429574,gray,gray
18,6.745117451174512,gray,gray
18,15.960259602596025,gray,gray
