,spacing,sum_ce,sum_noce
0,even,0.006077733870839375,0.009406248085632576
1,centbg,0.3048683578019711,0.740034615869689
2,coarse,0.39592893211405233,0.007517184304188532
3,coarse1,0.2627385558066485,0.6479534098379314
4,coarse2,0.4971705081357305,0.5187761849117354
5,coarse3,0.006598689327670354,0.004872352085918033
