,spacing,average,cntBelowReference
0,even,0.5382159924540952,52
1,centbg,0.43333913558864195,98
2,coarse,0.9586977963315436,1
3,coarse1,0.61245914392731,15
4,coarse2,0.9659988780945392,6
5,coarse3,0.5550168063682124,36
