"","pscale","up_std","low_std"
"R1",6.30781425920588,6.79975122934017,6.24384041836585
"R2",12.6788302357542,13.6038430189907,12.5677083013284
"R3",18.8519240881712,19.9928997330669,18.6174453209929
"R4",24.9425589909912,26.1372467480141,24.794720767286
"R5",37.0199070587606,38.3297007078142,36.5076301359997
"R6",43.2150166727208,48.6788635405072,42.5780851431395
"R7",49.9595822547904,55.6185787847449,49.0405597239461
"R8",55.8580530076979,61.5593615074134,54.8265828325412
"R9",62.0638222286129,68.162306855755,60.9720222180423
"R10",68.7232053982468,74.7368860867488,67.4709105819758
