"","pscale","up_std","low_std"
"R1",21.9766803470049,31.6297983153379,20.9876159521932
"R2",22.2045501382708,31.8861073692039,21.2545963490329
"R3",23.8685980229216,33.8124183104396,22.909488889055
"R4",24.9272621222929,35.5417178731152,23.9030754204346
"R5",30.6799627399469,41.4109395568756,29.676306295894
"R6",32.4101473533382,46.6555918612534,31.3059465724569
"R7",45.3469211059245,60.4722485880041,44.0035095347127
"R8",51.124436851313,66.2638256842326,49.7919678775973
"R9",56.913681254982,72.063450751472,55.5847700974653
"R10",58.6438658683222,75.3886900263193,57.4127790033224
