"","pscale","up_std","low_std"
"R1",-0.574710491191137,0.143983208040769,-5.85092691682958
"R2",1.85221956609857,7.21529228926074,1.15981099403936
"R3",7.66021565145086,16.6607718663019,7.23079000229805
"R4",9.30406235508305,18.8049715797132,8.71420089313323
"R5",11.6076925077313,25.0694270074426,11.0352060227815
"R6",12.5372140846009,26.0730237848536,11.9541395409775
"R7",13.2609680259526,26.8486181982533,12.6659191600265
"R8",20.0504059220749,34.8145789285677,19.2436424125362
"R9",21.2138369694047,35.8993014160447,20.5216973086851
"R10",22.5641418242566,37.4865660933407,21.9082702584375
