lum,pscale,up_std,low_std,obs,background
25,0.0,0.0,0.0,sub1,variegated
40,0.21120575452874998,0.25573558417588393,0.180400157023414,sub1,variegated
60,0.3656111780334097,0.430210185182947,0.3249583271463313,sub1,variegated
89,0.4578890905747394,0.5356509234088191,0.40924163715360706,sub1,variegated
120,0.5472708093303272,0.63873249768576,0.491148790812977,sub1,variegated
155,0.6487013283306143,0.7550983852858735,0.5831952422150942,sub1,variegated
199,0.757596566495495,0.878689310437594,0.683153081974905,sub1,variegated
242,0.8457253377262229,0.9804925202574128,0.7626883722180501,sub1,variegated
281,0.9399875835979712,1.0886774735779365,0.8481168681605974,sub1,variegated
312,1.0,1.1612202757165848,0.9013238610240146,sub1,variegated
25,0.0,0.0,0.0,sub1,homogeneous
40,0.11303395661372838,0.15069025004344686,0.09054859247442619,sub1,homogeneous
60,0.21928320263346363,0.28322161495269765,0.18735324894056868,sub1,homogeneous
89,0.31292847297691345,0.3979801902910628,0.2709520723488571,sub1,homogeneous
120,0.39070391387374287,0.4968143598231921,0.33784270694966045,sub1,homogeneous
155,0.5214008530966071,0.6624430593225639,0.45399261594907064,sub1,homogeneous
199,0.7796053654867797,0.9855156693573649,0.6832442412340092,sub1,homogeneous
242,0.8908369480515484,1.127144624599059,0.7796829144941013,sub1,homogeneous
281,0.9606498131293366,1.2181902367647435,0.8386894902170011,sub1,homogeneous
312,1.0,1.2723786222005986,0.8691883943397649,sub1,homogeneous
25,0.0,0.0,0.0,sub2,variegated
40,0.19469313755279608,0.23815153595943261,0.1635572211578908,sub2,variegated
60,0.30902459820796896,0.3671418020796105,0.27074698024630844,sub2,variegated
89,0.4105634528956996,0.4812034836940146,0.36505224722936785,sub2,variegated
120,0.5285630328822695,0.6145217399855939,0.4750798750871669,sub2,variegated
155,0.6201330574261471,0.7196445407743357,0.557987022157592,sub2,variegated
199,0.7537957727255251,0.8737225351153711,0.681540683819783,sub2,variegated
242,0.8586790522826985,0.9929390117620454,0.7772635010222837,sub2,variegated
281,0.9670224997443179,1.1167359371346741,0.8755198941360768,sub2,variegated
312,1.0,1.1603343907836885,0.9024964920183931,sub2,variegated
25,0.0,0.0,0.0,sub2,homogeneous
40,0.107607577412994,0.14879685711413299,0.07927125037672073,sub2,homogeneous
60,0.2311529297195098,0.2910229662523754,0.19732758398239916,sub2,homogeneous
89,0.33140264952455734,0.4106517941039676,0.29024799224807996,sub2,homogeneous
120,0.4767938553665975,0.5889914622829391,0.4198692312177303,sub2,homogeneous
155,0.5974936762128276,0.7366836395097605,0.528176573621236,sub2,homogeneous
199,0.8841778071830393,1.088980325969732,0.7864714536822324,sub2,homogeneous
242,0.9779932629700401,1.194349869363824,0.8719701765047552,sub2,homogeneous
281,1.0007425672850294,1.2210141817829203,0.8898781862430349,sub2,homogeneous
312,1.0,1.2279790339803687,0.8837852487732848,sub2,homogeneous
25,0.0,0.0,0.0,sub3,variegated
40,0.19241070796432744,0.23711930780186438,0.16354461089571584,sub3,variegated
60,0.34320128773009806,0.41310671468724713,0.3044097273349437,sub3,variegated
89,0.4735995830275004,0.565938379872939,0.4245820446584499,sub3,variegated
120,0.5601566583427734,0.6682119893109267,0.5026882140981356,sub3,variegated
155,0.6591581644549463,0.7869556059174638,0.5929144424975492,sub3,variegated
199,0.7644748673325162,0.9080511898126438,0.6869752838340716,sub3,variegated
242,0.856373760807722,1.018059771872067,0.771349993782862,sub3,variegated
281,0.9274483336468542,1.1024647335933018,0.8341765769444752,sub3,variegated
312,1.0,1.189878055071862,0.9000928098351727,sub3,variegated
25,0.0,0.0,0.0,sub3,homogeneous
40,0.10050487002264678,0.1502451252087393,0.07197757722333392,sub3,homogeneous
60,0.2607090967141187,0.35164910868624666,0.22241318708427804,sub3,homogeneous
89,0.40327532307696007,0.5388095660209345,0.34671535124445546,sub3,homogeneous
120,0.555657889493357,0.7394931198872416,0.4828839295652143,sub3,homogeneous
155,0.7267156184748454,0.9630124588827154,0.6290919149753005,sub3,homogeneous
199,0.887629021868881,1.1740143157687888,0.7712745312248656,sub3,homogeneous
242,0.972618983367612,1.2930847605740925,0.8456901622034004,sub3,homogeneous
281,1.0186188671820309,1.3490396521276633,0.8847332636252991,sub3,homogeneous
312,1.0,1.3359259721470886,0.8644447258667938,sub3,homogeneous
25,0.0,0.0,0.0,sub4,variegated
40,0.15793950373107563,0.19891390303552867,0.12749665509378924,sub4,variegated
60,0.2920501324277086,0.34961991475903914,0.2544542367077486,sub4,variegated
89,0.40518289812304176,0.47673560946273436,0.35930057892956246,sub4,variegated
120,0.4865233067926901,0.5708546086086924,0.4328995798237165,sub4,variegated
155,0.6059610876874222,0.7090103168098659,0.5428420773564097,sub4,variegated
199,0.7260595820311617,0.8475040698049584,0.6527611505076737,sub4,variegated
242,0.8579618680473693,0.9978457805867278,0.7716930588673788,sub4,variegated
281,0.9022331569371691,1.052536043807764,0.8105447786901853,sub4,variegated
312,1.0,1.1679341142959103,0.8948766812993291,sub4,variegated
25,0.0,0.0,0.0,sub4,homogeneous
40,0.035784785601817706,0.06652338765942241,0.006108475478962513,sub4,homogeneous
60,0.09755271400570954,0.13582155850902708,0.0674226210497774,sub4,homogeneous
89,0.17520466667639276,0.22658298396053062,0.13907083350373353,sub4,homogeneous
120,0.28370181735262473,0.36172720698902944,0.23832821507762503,sub4,homogeneous
155,0.5184993948322147,0.656502046447463,0.44566556958473763,sub4,homogeneous
199,0.8172659763822503,1.0273236916044088,0.7077115934177683,sub4,homogeneous
242,0.974752740941858,1.2254938280778134,0.8453526719177888,sub4,homogeneous
281,1.0234052314365525,1.2902999044417407,0.8882878691140383,sub4,homogeneous
312,1.0,1.2649763220592014,0.860359328716443,sub4,homogeneous
25,0.0,0.0,0.0,sub5,variegated
40,0.0983284938272584,0.14590973720957173,0.05364317440774433,sub5,variegated
60,0.2500947294271176,0.30711219829326536,0.2049764837322202,sub5,variegated
89,0.38579199927409913,0.4540379875307247,0.33684624046141043,sub5,variegated
120,0.4945450324189056,0.5752026309641954,0.43810079766478,sub5,variegated
155,0.6049303176262478,0.6993544448209361,0.5411811245978481,sub5,variegated
199,0.738687449328286,0.8477408412963205,0.6625806962078824,sub5,variegated
242,0.8764371296090286,1.0039811660989157,0.78891764261235,sub5,variegated
281,0.9625692089232781,1.102734345425153,0.8637281039027584,sub5,variegated
312,1.0,1.1497587574703085,0.8919250262758631,sub5,variegated
25,0.0,0.0,0.0,sub5,homogeneous
40,0.0772716847663822,0.11638867154344955,0.042334369714058094,sub5,homogeneous
60,0.19147725377153677,0.23927751926243582,0.15489059881751535,sub5,homogeneous
89,0.3060672141677274,0.36807134456166735,0.2647155139450525,sub5,homogeneous
120,0.46023181373137556,0.5422543485655714,0.40847295964256325,sub5,homogeneous
155,0.5886032128474722,0.6886472171543518,0.5252003850958045,sub5,homogeneous
199,0.7031784149433751,0.8220845992428072,0.6285465384468446,sub5,homogeneous
242,0.8776903138386011,1.0227940437150116,0.7885377533553206,sub5,homogeneous
281,0.9571825090204139,1.1153313787161494,0.8590927513905486,sub5,homogeneous
312,1.0,1.1716891133690455,0.8938517515187082,sub5,homogeneous
25,0.0,0.0,0.0,sub6,variegated
40,0.2658214371938849,0.3221665015725473,0.2203737516013926,sub6,variegated
60,0.4556881196952154,0.5294721377759157,0.4031086050202798,sub6,variegated
89,0.5627521902341385,0.6483230232889632,0.5018186539823353,sub6,variegated
120,0.691631264187158,0.7933452768210613,0.6201405820454217,sub6,variegated
155,0.7902231723328501,0.9032473150825209,0.7126290330073143,sub6,variegated
199,0.8701912437415511,0.9952272751020109,0.7846583756424185,sub6,variegated
242,0.9303485021071767,1.0619139481931124,0.8376149433163022,sub6,variegated
281,1.0087940713549837,1.1523535512658394,0.9084300748038606,sub6,variegated
312,1.0,1.1478437345483665,0.8928962006414285,sub6,variegated
25,0.0,0.0,0.0,sub6,homogeneous
40,0.13984711909261419,0.2015543344027087,0.08049376648426679,sub6,homogeneous
60,0.306711175473396,0.37652407781217756,0.24285580773428972,sub6,homogeneous
89,0.48371937759676026,0.5671048943747992,0.4140688324043421,sub6,homogeneous
120,0.5612677048206038,0.6537058908941097,0.4868551891739827,sub6,homogeneous
155,0.6752855004542253,0.7788537768564546,0.5916764857985659,sub6,homogeneous
199,0.9278304487190876,1.0572379117444062,0.8288147693167919,sub6,homogeneous
