"","pscale","up_std","low_std"
"",0,0,0
"S2",0.968411854546892,1.2653685467939,0.718297164858862
"S3",1.81023730153013,2.18560053959393,1.53403835722856
"S4",2.84535891869299,3.31639787897494,2.5107826982801
"S5",3.46483445781897,4.00894926969179,3.09192201945098
"S6",4.13977587177926,4.7793957179302,3.71336440830445
"S7",4.96388451456659,5.70877470535941,4.47881821269224
"S8",5.77502830984628,6.62621168894382,5.23489356029878
"S9",6.06522841715451,6.96633765287276,5.47753814809227
"S10",6.43775724474128,7.41237491764155,5.77637498758544
