"","pscale","up_std","low_std"
"R1",6.08725379261261,6.08937518375382,6.08015735008052
"R2",12.1011586851383,12.388213689254,12.0572416105289
"R3",18.5084308920975,19.6875369814888,18.2121990783642
"R4",19.8158544239264,25.0746162498396,19.0005722581624
"R5",21.3609507649189,27.5878267763899,20.4666375853623
"R6",23.2755140792745,33.1142331395794,22.2865455531155
"R7",31.0305198198013,44.502623318859,29.477141415501
"R8",32.7607044331841,47.2466984550083,31.5066038695629
"R9",38.4793824734459,52.9439860526267,37.1920474191295
"R10",44.2519527701229,58.8105852067253,43.0034512448739
