"","pscale","up_std","low_std"
"",0,0,0
"S2",0.497922720251148,0.717629959883146,0.286596359161063
"S3",1.09203867633485,1.34060604380513,0.864682985251669
"S4",1.72227264954714,2.01916502468554,1.47428335127481
"S5",1.9983818342966,2.3275060476765,1.73343764058061
"S6",2.40433979272501,2.77309245815367,2.10665165810356
"S7",3.30352075863714,3.76427330347644,2.95097751888076
"S8",3.6268244770161,4.1429755630991,3.24363623124207
"S9",3.78189311022002,4.32606237697301,3.37103924308297
"S10",3.5604789249995,4.12230166621684,3.11443622777246
