,background,O1_dist,O2/MM_dist,O3/GA_dist,O4/MK_dist,O5_dist,O6_dist,O7_dist,O8_dist
0,plain,0.8952281464510238,0.330443980594848,0.6332224577588047,0.5171432365249864,0.9069139011588916,0.6211252201517196,0.3929956688309191,0.7102124578153983
1,dark,1.2177870938419235,0.7844296897714005,0.7254509911553084,0.7448556250793394,0.574312356685836,0.958109284146245,0.5800373518385991,1.0805071213388577
2,light,1.1365404349169155,1.5476062946477644,2.0462872124221634,1.4851133229780265,1.347774649259776,0.7046773139708135,1.0931601455500122,0.8895750317205136
