"","pscale","up_std","low_std"
"R1",0,0,0
"R2",12.0960359968844,12.7024770378147,12.0692653856408
"R3",24.3469107167464,25.7249335467852,24.0712520924751
"R4",37.181682022551,43.4997451992007,36.4778533711259
"R5",48.6971544085302,60.0295978507918,48.0703887031037
"R6",60.6509112838749,72.5511330224024,60.0847791363523
"R7",73.9727382259491,87.5078119193753,73.1305000670321
"R8",80.7627921687443,95.00964304276,79.9047892296583
"R9",86.7098337019526,101.116632116124,85.8536620695162
"R10",92.7950156830637,107.361010325502,91.9392795287379
