"","pscale","up_std","low_std"
"R1",38.1065302959905,43.6487903941849,37.0867936364245
"R2",38.8294717271019,44.542430266185,37.8730303129629
"R3",44.7103433957277,50.3965166834519,43.8215901428937
"R4",50.6150000532942,56.3317873659868,49.7475583229367
"R5",57.0274768858401,63.5491130998328,56.1314237143979
"R6",57.8690981193031,68.0201164792168,56.8108234909445
"R7",70.4113927102262,80.4399366951384,69.2596768554413
"R8",86.7285860810897,97.1789188679894,75.9390390223469
"R9",89.0395306411881,100.408285830924,87.809114308305
"R10",90.4051773780867,105.425348889658,89.197210212397
