"","pscale","up_std","low_std"
"R1",6.08663721252751,6.24724572273938,6.08440618603793
"R2",12.6204365092966,13.6738699494687,12.214779885461
"R3",18.5014843297908,19.6983486137484,18.2167000843056
"R4",25.6284622822704,31.6311606428102,24.9124450378006
"R5",31.4061227151715,37.5629900334553,30.6988849833495
"R6",42.9193651479978,49.7630493461545,42.2940798327149
"R7",48.9835398814055,60.1200096677291,48.3172950472292
"R8",50.4744961982777,62.8940567644237,49.7486745497353
"R9",61.0191260904081,73.0232940123452,60.3162409217575
"R10",62.5259700387959,76.0107082776516,61.8245767270178
