"","pscale","up_std","low_std"
"",0,0,0
"S2",0.645508635144901,0.955769425949416,0.364958069321412
"S3",1.4374747455065,1.82533646803568,1.14907196762321
"S4",2.34417566741455,2.82600037041172,2.01184227312544
"S5",3.67311733355655,4.30892971138647,3.25141430267181
"S6",4.55190882986519,5.31159255413229,4.05967277970675
"S7",5.28419810879601,6.1718361068396,4.71209293991198
"S8",6.72986617546128,7.82080054859572,6.0360420744419
"S9",7.77728747919835,9.04331492253116,6.97838828100637
"S10",8.75442340764509,10.175904659656,7.83907082332854
