"","pscale","up_std","low_std"
"",0,0,0
"S2",2.25270848244126,2.72766109531672,1.92413774362886
"S3",3.89958788702933,4.5885971978208,3.46598690758123
"S4",4.88381881761001,5.71322207334216,4.36494786536977
"S5",5.83715911113162,6.81268424128917,5.23856487562962
"S6",6.91901121805072,8.05383613437312,6.22032705495481
"S7",8.08048159208873,9.37204986421799,7.2864716494326
"S8",9.02045801906417,10.4578770700749,8.13479050032722
"S9",10.025853735308,11.6117715866397,9.04596594571869
"S10",10.6659427318521,12.3855089598586,9.61346868453396
