"","pscale","up_std","low_std"
"",0,0,0
"S2",1.52091799225666,1.84330065293674,1.26088553041413
"S3",2.60725495813399,3.02941594644464,2.30641718245488
"S4",3.21983035056976,3.70943051592643,2.87119439180171
"S5",3.9572219788362,4.53918659957027,3.54818249016335
"S6",4.52132323632932,5.16799964468076,4.07736234348455
"S7",4.97886676590872,5.6942701275939,4.48948381999378
"S8",5.32306119047794,6.07582310548265,4.79247893368215
"S9",5.77189360573113,6.59328031652592,5.19765320683489
"S10",5.72157764366962,6.56747705001818,5.10877493970754
