"","pscale","up_std","low_std"
"R1",0,0,0
"R2",6.5611613622253,7.53798031328006,6.2740966569716
"R3",18.8519240881713,19.9826621150425,18.6363101183868
"R4",30.8998551859387,32.0914367373132,30.5839231931552
"R5",44.056637906429,49.6484200820404,43.2508363497703
"R6",61.8104751257398,67.639848192085,60.7255481068711
"R7",80.0545063041863,86.0764544377792,78.5073924158303
"R8",86.7817982278349,92.9899949186693,84.9244115481948
"R9",88.0969060216334,98.463384545928,85.9196594327163
"R10",89.4120138154331,101.524906241178,87.1410944432109
