lum,pscale,up_std,low_std,obs,background
22,0.0,0.0,0.0,sub1,variegated
28,0.19383311544932627,0.2402930747546717,0.15896992063023685,sub1,variegated
36,0.3676314846708563,0.435577361828384,0.32337825875082593,sub1,variegated
48,0.4795742414692857,0.563804483267136,0.42683149001929593,sub1,variegated
60,0.600491572325941,0.7006805319084254,0.5364023129580249,sub1,variegated
74,0.7092934661090273,0.8238517047942348,0.6352324067306743,sub1,variegated
92,0.8012303204416178,0.9316281768490867,0.7187203085428481,sub1,variegated
108,0.9102695344997648,1.05659216641083,0.8191682943227944,sub1,variegated
125,0.96830054286092,1.1272188533224545,0.8671400229256851,sub1,variegated
137,1.0,1.166850374332354,0.8937766935263158,sub1,variegated
22,0.0,0.0,0.0,sub1,homogeneous
28,0.08303913762523094,0.11714231944281052,0.06371465963101204,sub1,homogeneous
36,0.15474305503673105,0.2108601225495925,0.1289454241328445,sub1,homogeneous
48,0.2566683977326439,0.34093711208979355,0.22055784389900016,sub1,homogeneous
60,0.34773324081787615,0.46557321199645263,0.2979669699497462,sub1,homogeneous
74,0.4645036558888637,0.6171953853012925,0.4003497141955427,sub1,homogeneous
92,0.728096609782792,0.9651089367131372,0.6309228141161022,sub1,homogeneous
108,0.8357798138916641,1.1060013275309908,0.7230814797614329,sub1,homogeneous
125,0.9236094130471273,1.2219441038903378,0.8006335594398379,sub1,homogeneous
137,1.0,1.3250938239704433,0.867397927428079,sub1,homogeneous
22,0.0,0.0,0.0,sub2,variegated
28,0.14320912199419603,0.18317659184605972,0.10889516925902366,sub2,variegated
36,0.2894057508858419,0.34437330219342627,0.2513801547675843,sub2,variegated
48,0.4058646164730366,0.47708361713298814,0.3613771639824967,sub2,variegated
60,0.5209143780673212,0.6061957386354274,0.46890250623282687,sub2,variegated
74,0.6278534037895732,0.7292851562972024,0.5655022757992583,sub2,variegated
92,0.7427481231896741,0.8593878876412202,0.670425224760574,sub2,variegated
