"","pscale","up_std","low_std"
"",0,0,0
"S2",0.526969761335712,0.883014237039889,0.212747769474138
"S3",1.39265043730267,1.83953144111503,1.05975401570492
"S4",2.49556680436717,3.11223824539809,2.09618193003046
"S5",3.89442574153923,4.75218805131761,3.38518608999743
"S6",5.48822490761884,6.64086786857815,4.83088796103797
"S7",7.29651744374721,8.78744510558444,6.44693397107504
"S8",9.13700732840009,10.9976543321201,8.12504088883324
"S9",10.5003016228567,12.6515396463092,9.30735138448265
"S10",10.9756177952263,13.2278472503945,9.69950579581819
