lum,slope,obs,background
32.5,0.7871111111111116,sub1,variegated
50.0,1.1818888888888885,sub1,variegated
74.5,0.9133103448275857,sub1,variegated
104.5,2.323910394265234,sub1,variegated
137.5,-0.16611111111111135,sub1,variegated
177.0,0.41262626262626223,sub1,variegated
220.5,1.6980435585086746,sub1,variegated
261.5,2.0582824582824593,sub1,variegated
296.5,0.05501792114695043,sub1,variegated
32.5,0.6869711111111111,sub1,homogeneous
50.0,1.089233333333333,sub1,homogeneous
74.5,1.0570229885057472,sub1,homogeneous
104.5,0.9603978494623656,sub1,homogeneous
137.5,0.6237047619047628,sub1,homogeneous
177.0,2.9644696969696955,sub1,homogeneous
220.5,1.045581395348838,sub1,homogeneous
261.5,1.4243589743589733,sub1,homogeneous
296.5,1.3139784946236546,sub1,homogeneous
32.5,0.5040888888888889,sub2,variegated
50.0,1.1493499999999999,sub2,variegated
74.5,1.0061264367816092,sub2,variegated
104.5,1.640720430107527,sub2,variegated
137.5,0.5902952380952375,sub2,variegated
177.0,1.3136363636363646,sub2,variegated
220.5,0.778682170542636,sub2,variegated
261.5,1.4254700854700855,sub2,variegated
296.5,0.5520430107526885,sub2,variegated
32.5,0.8411777777777778,sub2,homogeneous
50.0,1.1603499999999995,sub2,homogeneous
74.5,0.9304137931034487,sub2,homogeneous
104.5,1.1302043010752687,sub2,homogeneous
137.5,1.1600000000000001,sub2,homogeneous
177.0,3.0921969696969698,sub2,homogeneous
220.5,0.6255038759689932,sub2,homogeneous
261.5,0.9814529914529908,sub2,homogeneous
296.5,0.573763440860214,sub2,homogeneous
32.5,0.8337333333333335,sub3,variegated
50.0,1.3368333333333333,sub3,variegated
74.5,1.0407356321839074,sub3,variegated
104.5,1.307849462365591,sub3,variegated
137.5,0.8012380952380957,sub3,variegated
177.0,0.8087878787878796,sub3,variegated
220.5,1.1053488372093023,sub3,variegated
261.5,1.1074358974358967,sub3,variegated
296.5,1.4618279569892472,sub3,variegated
32.5,0.9531200000000002,sub3,homogeneous
50.0,1.0710499999999994,sub3,homogeneous
74.5,1.0530229885057472,sub3,homogeneous
104.5,1.1433118279569894,sub3,homogeneous
137.5,0.8725714285714288,sub3,homogeneous
177.0,1.857045454545454,sub3,homogeneous
220.5,1.0968217054263572,sub3,homogeneous
261.5,1.0236752136752125,sub3,homogeneous
296.5,1.1633333333333333,sub3,homogeneous
32.5,0.8903777777777774,sub4,variegated
50.0,1.38245,sub4,variegated
74.5,0.8447931034482757,sub4,variegated
104.5,1.362752688172044,sub4,variegated
137.5,0.6744761904761901,sub4,variegated
177.0,1.0370454545454537,sub4,variegated
220.5,1.3821705426356576,sub4,variegated
261.5,0.7615384615384642,sub4,variegated
296.5,0.6809677419354825,sub4,variegated
32.5,0.5632844444444444,sub4,homogeneous
50.0,1.0697833333333338,sub4,homogeneous
74.5,0.8999080459770117,sub4,homogeneous
104.5,1.2009999999999998,sub4,homogeneous
137.5,1.0564,sub4,homogeneous
177.0,2.846818181818181,sub4,homogeneous
220.5,1.2648837209302335,sub4,homogeneous
261.5,1.0135897435897414,sub4,homogeneous
296.5,0.9598924731182831,sub4,homogeneous
32.5,3.3166,sub5,variegated
50.0,-0.6219833333333338,sub5,variegated
74.5,1.5340114942528733,sub5,variegated
104.5,0.929989247311828,sub5,variegated
137.5,0.9153333333333323,sub5,variegated
177.0,1.0325000000000015,sub5,variegated
220.5,1.0541860465116275,sub5,variegated
261.5,0.14760683760683746,sub5,variegated
296.5,1.712365591397847,sub5,variegated
32.5,1.0110133333333333,sub5,homogeneous
50.0,0.9263333333333333,sub5,homogeneous
74.5,1.3323448275862064,sub5,homogeneous
104.5,0.8140000000000007,sub5,homogeneous
137.5,1.3463904761904757,sub5,homogeneous
177.0,1.5194696969696972,sub5,homogeneous
220.5,1.3461240310077518,sub5,homogeneous
261.5,1.2938461538461548,sub5,homogeneous
296.5,0.33408602150537503,sub5,homogeneous
32.5,1.1036888888888892,sub6,variegated
50.0,2.1356,sub6,variegated
74.5,0.7106436781609194,sub6,variegated
104.5,0.9700000000000008,sub6,variegated
137.5,1.0129523809523806,sub6,variegated
177.0,0.8980303030303034,sub6,variegated
220.5,0.17906976744185954,sub6,variegated
261.5,0.886153846153847,sub6,variegated
296.5,0.5516129032258054,sub6,variegated
32.5,1.4041888888888887,sub6,homogeneous
50.0,1.6169499999999999,sub6,homogeneous
74.5,1.6567356321839084,sub6,homogeneous
104.5,0.5635806451612909,sub6,homogeneous
137.5,1.1643809523809514,sub6,homogeneous
177.0,1.2227272727272729,sub6,homogeneous
220.5,0.8217829457364343,sub6,homogeneous
261.5,-0.08068376068376164,sub6,homogeneous
296.5,1.0953763440860247,sub6,homogeneous
32.5,0.9165555555555555,sub7,variegated
50.0,1.2317666666666665,sub7,variegated
74.5,0.8855287356321843,sub7,variegated
104.5,1.0186774193548385,sub7,variegated
137.5,1.1743047619047615,sub7,variegated
177.0,1.0175000000000003,sub7,variegated
220.5,0.8182945736434095,sub7,variegated
261.5,1.2973504273504302,sub7,variegated
296.5,1.2741935483870932,sub7,variegated
32.5,1.0388266666666666,sub7,homogeneous
50.0,0.7279333333333333,sub7,homogeneous
74.5,0.6572528735632184,sub7,homogeneous
104.5,1.2222043010752675,sub7,homogeneous
137.5,1.4760476190476206,sub7,homogeneous
177.0,3.6402272727272718,sub7,homogeneous
220.5,-0.07519379844961276,sub7,homogeneous
261.5,1.044786324786325,sub7,homogeneous
296.5,0.6773118279569893,sub7,homogeneous
32.5,0.6181555555555557,test,variegated
50.0,1.2032999999999998,test,variegated
74.5,1.1172183908045976,test,variegated
104.5,1.30547311827957,test,variegated
137.5,1.6112380952380947,test,variegated
177.0,1.0850000000000002,test,variegated
220.5,1.2799999999999998,test,variegated
261.5,1.0814529914529902,test,variegated
296.5,0.7351612903225831,test,variegated
