"","pscale","up_std","low_std"
"",0,0,0
"S2",1.84248014137845,2.27568491328592,1.52685029240721
"S3",3.08749831359478,3.68457109091743,2.68754760404442
"S4",4.37648073633868,5.14820251175432,3.87489649429664
"S5",5.50790339012996,6.45338213496128,4.92460441598397
"S6",6.57226469456524,7.68201831713145,5.88095385457339
"S7",8.00233829102758,9.33721830974982,7.18873419936842
"S8",8.84055168864994,10.3458494954985,7.92766420190646
"S9",9.81031386744742,11.4315930853806,8.82580877081205
"S10",10.5575306335059,12.3314504697817,9.45469917377242
