"","pscale","up_std","low_std"
"",0,0,0
"S2",1.04876409754678,1.38181932835719,0.753525473493375
"S3",2.14267136640451,2.58697106889632,1.81744812529472
"S4",3.12195593858263,3.70788729312195,2.74763323330922
"S5",4.15795668300133,4.87231362829496,3.6968269736636
"S6",5.20917103563592,6.08804189950981,4.65093459548418
"S7",6.43407039008584,7.4917457302887,5.78332684152678
"S8",7.35033750233457,8.53498450516371,6.60679690150485
"S9",8.06298143378203,9.38536256721563,7.24561807238573
"S10",8.15773933094212,9.52969410867668,7.29086607005976
