"","pscale","up_std","low_std"
"R1",-5.99368379509872,-5.88388093111095,-6.85163577701489
"R2",1.09853604778661e-10,0.84162123388092,-0.841621233550701
"R3",7.56460836102309,16.4292211248768,6.78064652496583
"R4",9.23359619248769,18.8313172437757,8.45067286021674
"R5",15.8453026081393,27.4919232499115,14.9592656461958
"R6",22.887583246075,36.3958377819717,22.0795419521204
"R7",24.7646675366499,39.0622003437979,24.0039503767754
"R8",30.2440227406693,44.7892670562913,29.5653782033037
"R9",32.2747927013613,47.6264678992143,31.5342717655833
"R10",33.7186309707014,49.2986577803371,32.9692966162419
