"","pscale","up_std","low_std"
"R1",0,0,0
"R2",1.98064895764137,3.84660010961668,1.4634868999497
"R3",4.230536933249,9.28765749984045,3.59925927078257
"R4",6.03688796200006,11.3160215009764,5.41989380750295
"R5",7.82101910262449,13.2564059101436,7.16486823774875
"R6",9.22261284043093,14.7661678352643,8.6356376953821
"R7",10.6628591954004,16.2959501415796,10.0501597470086
"R8",12.3807085146071,20.97387960158,11.7330660130406
"R9",17.6487277148468,26.651158551035,17.0328764271426
"R10",17.6487277148766,26.6338865652196,17.0338289032172
