tar_lum,mat_lum,obs,background
281,281.1666666666667,sub2,variegated
155,164.3,sub2,variegated
120,156.8666666666667,sub2,variegated
120,128.3666666666667,sub2,variegated
242,256.9333333333333,sub2,variegated
281,281.1666666666667,sub2,variegated
199,208.80000000000004,sub2,variegated
312,314.2,sub2,variegated
25,21.16,sub2,variegated
155,121.8666666666667,sub2,variegated
199,197.2333333333333,sub2,variegated
242,202.9,sub2,variegated
40,24.32,sub2,variegated
312,306.9666666666667,sub2,variegated
40,18.25333333333333,sub2,variegated
60,51.81,sub2,variegated
25,14.923333333333332,sub2,variegated
40,26.03,sub2,variegated
25,16.219999999999995,sub2,variegated
312,346.6666666666667,sub2,variegated
199,211.7,sub2,variegated
89,78.25999999999999,sub2,variegated
242,224.3333333333333,sub2,variegated
60,51.81,sub2,variegated
155,185.8,sub2,variegated
155,164.3,sub2,variegated
25,21.97,sub2,variegated
60,44.39000000000001,sub2,variegated
199,199.9,sub2,variegated
120,99.46333333333332,sub2,variegated
312,333.8666666666666,sub2,variegated
40,26.03,sub2,variegated
60,31.46666666666667,sub2,variegated
25,16.219999999999995,sub2,variegated
89,93.88333333333333,sub2,variegated
281,288.63333333333327,sub2,variegated
199,220.8666666666667,sub2,variegated
60,46.78333333333332,sub2,variegated
155,124.06666666666665,sub2,variegated
155,126.3333333333333,sub2,variegated
60,42.023333333333326,sub2,variegated
120,103.40000000000002,sub2,variegated
40,35.54333333333332,sub2,variegated
120,154.2333333333333,sub2,variegated
25,18.943333333333328,sub2,variegated
120,113.46666666666664,sub2,variegated
312,337.9333333333333,sub2,variegated
281,337.9333333333333,sub2,variegated
40,26.94,sub2,variegated
40,18.25333333333333,sub2,variegated
155,115.7333333333333,sub2,variegated
25,15.56333333333333,sub2,variegated
40,31.46666666666667,sub2,variegated
89,45.52,sub2,variegated
60,57.06333333333332,sub2,variegated
242,291.8666666666667,sub2,variegated
60,49.19333333333332,sub2,variegated
312,306.9666666666667,sub2,variegated
89,73.33333333333331,sub2,variegated
89,113.46666666666664,sub2,variegated
120,144.6,sub2,variegated
242,246.5666666666667,sub2,variegated
155,220.8666666666667,sub2,variegated
120,159.1,sub2,variegated
