lum,pscale,up_std,low_std,obs,background
73,0.0,0.0,0.0,sub1,variegated
79,0.12856062874782495,0.16938753155742306,0.09236939830073633,sub1,variegated
87,0.2626550419768141,0.3171186236711434,0.22278820780668734,sub1,variegated
99,0.3826986634325421,0.45452387514492126,0.3368130706122846,sub1,variegated
111,0.5096947223148323,0.5972627256934263,0.4531680682222364,sub1,variegated
125,0.6385557106339071,0.7462903204590031,0.5701254240673381,sub1,variegated
144,0.7887075241153584,0.9183605195464726,0.7089374404978537,sub1,variegated
159,0.9010262775196686,1.0462438377738679,0.8098808546683293,sub1,variegated
176,0.9883842945556404,1.1504857150334729,0.8881894576973384,sub1,variegated
188,1.0,1.1681783055424149,0.8937360921065066,sub1,variegated
73,0.0,0.0,0.0,sub1,homogeneous
79,0.04200958721722716,0.07033518036367895,0.021605750316414124,sub1,homogeneous
87,0.0901639075289704,0.13220564539044416,0.06653222009408526,sub1,homogeneous
99,0.16078240118851647,0.22514671559880825,0.13115325876642414,sub1,homogeneous
111,0.25238016788212936,0.34731607380974383,0.21175889997582853,sub1,homogeneous
125,0.3824755874669952,0.5238819010693153,0.32230682187033094,sub1,homogeneous
144,0.7349127750723063,1.0061609603018076,0.6305908097987316,sub1,homogeneous
159,0.8647677679897913,1.1747484438539855,0.7436052683461396,sub1,homogeneous
176,0.9185873655304175,1.2528032534939335,0.7852947465565583,sub1,homogeneous
188,1.0,1.3632457743674884,0.8497254002491137,sub1,homogeneous
73,0.0,0.0,0.0,sub2,variegated
79,0.11519092827379462,0.1585515677080752,0.07546165311369271,sub2,variegated
87,0.23241272007370697,0.28466100916989423,0.19159335493721058,sub2,variegated
99,0.3483081410578626,0.41368356010406254,0.3008274308763871,sub2,variegated
111,0.47031811105556315,0.5521940183912644,0.41649388942859494,sub2,variegated
125,0.609880419224141,0.7074614985818902,0.5457244482333866,sub2,variegated
144,0.7225472235200258,0.836105225458772,0.6489635145428777,sub2,variegated
159,0.8560334818342459,0.988564887572532,0.7721167816702962,sub2,variegated
176,0.9567660300230562,1.1046759127533197,0.8622599723245787,sub2,variegated
188,1.0,1.1590235652426035,0.8985826535436698,sub2,variegated
73,0.0,0.0,0.0,sub2,homogeneous
79,0.0032104073695655437,0.035739522631072364,-0.030090709475704778,sub2,homogeneous
87,0.06655185710277513,0.10779748788152675,0.03353387362099027,sub2,homogeneous
99,0.12914249213590365,0.1861050232076315,0.09077043387309387,sub2,homogeneous
111,0.2643952269657282,0.35668414599555204,0.21429182108867342,sub2,homogeneous
125,0.41984233366502405,0.5775496061978724,0.3475523032129834,sub2,homogeneous
144,0.7915860680058882,1.087225925000331,0.6710924065020085,sub2,homogeneous
159,0.9268222581582068,1.2352204493717152,0.7919000111835872,sub2,homogeneous
176,0.9557718084922631,1.2808497189692423,0.8151101586427959,sub2,homogeneous
188,1.0,1.330599677264067,0.8471584490370275,sub2,homogeneous
73,0.0,0.0,0.0,sub3,variegated
79,0.16531165818041807,0.21053322599548518,0.13298091137729487,sub3,variegated
87,0.3351845816496609,0.4050956741098812,0.29213790941264794,sub3,variegated
99,0.4808307701513546,0.5710603299129231,0.42698698838055016,sub3,variegated
111,0.6066815681722831,0.721130622484447,0.5404350140588624,sub3,variegated
125,0.717656218811087,0.8513561127261877,0.6401793363506199,sub3,variegated
144,0.836597760250374,0.9916028726796956,0.7501343189659443,sub3,variegated
