lum,pscale,up_std,low_std,obs,background
22,-0.02547007972504939,0.006381062890057981,-0.25930199173539115,sub1,variegated
28,0.08208686067144914,0.3197680791699445,0.051400625074628614,sub1,variegated
36,0.33948623932225414,0.7383738320768513,0.32045490843905716,sub1,variegated
48,0.41233840965673785,0.8334006994893877,0.38619686762318634,sub1,variegated
60,0.5144309319689241,1.1110294910703318,0.48905941598534813,sub1,variegated
74,0.5556255665404173,1.1555069981356405,0.5297848078638967,sub1,variegated
92,0.5877009694956344,1.189879872559162,0.5613295315495027,sub1,variegated
108,0.8885959890803637,1.542916154300262,0.8528417593905192,sub1,variegated
125,0.9401570480557645,1.590988999078738,0.9094827300998499,sub1,variegated
137,1.0,1.6613335612454976,0.9709330152714235,sub1,variegated
22,0.07159870043783383,0.07160447216670245,0.07154848870103221,sub1,homogeneous
28,0.148125800526936,0.21086972376067528,0.1426365651863575,sub1,homogeneous
36,0.2174158365320235,0.27974503861407385,0.21416526082692205,sub1,homogeneous
48,0.35427988703510827,0.41643847201729084,0.35096053602117705,sub1,homogeneous
60,0.42219326696063175,0.48414422508195676,0.41868156571549225,sub1,homogeneous
74,0.4481556487045813,0.5672329913753049,0.4379525711275274,sub1,homogeneous
92,0.797707181883311,0.9137619709582286,0.7859525268655038,sub1,homogeneous
108,0.8650024498418055,0.9810133543575863,0.8532564940780459,sub1,homogeneous
125,0.9322713381849573,1.0483732587326704,0.9205923736788031,sub1,homogeneous
137,1.0,1.1164408814206728,0.9885394497623848,sub1,homogeneous
22,0.013207557824175112,0.04752375250804723,-0.022102341465764758,sub2,variegated
28,0.08046506535384224,0.12817326837509468,0.051626351785017,sub2,variegated
36,0.16729261504717297,0.3972016930864291,0.13471512645655245,sub2,variegated
48,0.24285226531194964,0.5056160007388111,0.208424568003245,sub2,variegated
60,0.3156326910498692,0.5955818819943377,0.27982118970834896,sub2,variegated
74,0.6766534906829149,1.1444809016239117,0.6300958113331364,sub2,variegated
92,0.7636858229466413,1.248646296875864,0.7237804675653158,sub2,variegated
108,0.8591552136054241,1.3599627954043687,0.8210591593667749,sub2,variegated
125,0.9360399410818319,1.4511434620304091,0.897773159962077,sub2,variegated
137,1.0,1.5417563500529474,0.9636613037849601,sub2,variegated
22,0.09995368958618318,0.10273540998278671,0.09971463658854605,sub2,homogeneous
28,0.14316153305273852,0.3020449142983637,0.12861623978311984,sub2,homogeneous
36,0.23958127934775386,0.4009172818211507,0.2252424607390341,sub2,homogeneous
48,0.3491404011741393,0.5200745463093736,0.3333469739244698,sub2,homogeneous
60,0.38615017487472353,0.635171524374582,0.3673322010540018,sub2,homogeneous
74,0.45291221782176044,0.8248996377614256,0.4353717220003778,sub2,homogeneous
92,0.7184061253068845,1.051450504289092,0.7032589485315596,sub2,homogeneous
108,0.8120225093998438,1.1478807766911021,0.796921092841709,sub2,homogeneous
125,0.9058748741575131,1.2444828783535011,0.890776460417485,sub2,homogeneous
137,1.0,1.3413706157338463,0.9849113550795532,sub2,homogeneous
22,-0.02085171963865873,-1.4117767994621082e-13,-0.1529898991221665,sub3,variegated
28,0.1456133899464692,0.15422667260049452,0.14473373282731658,sub3,variegated
36,0.19376455938096748,0.32832046077533145,0.17737432889695426,sub3,variegated
48,0.3386667527101206,0.493712707339499,0.32539536074269676,sub3,variegated
