"","pscale","up_std","low_std"
"R1",0,0,0
"R2",7.27935627179613,12.2639254982777,6.57410767783982
"R3",8.73705741324249,13.9840702399959,8.02287425942882
"R4",10.3805194375687,15.8229478921014,9.67171427532021
"R5",12.3321454983198,19.2545972369417,11.6037133191745
"R6",15.0854288696811,25.1969001049953,14.3507589876724
"R7",17.3699796291863,27.7681373188039,16.6416590663117
"R8",18.6468686850681,29.3047416558879,17.9436389919969
"R9",23.9550763687291,34.951338314661,23.292875181782
"R10",24.7966975999392,38.168985839495,23.9636319515241
