lum,pscale,up_std,low_std,obs,background
73,-0.012222375196795135,0.016297736733198287,-0.05434702376175347,sub1,variegated
79,0.04653810435788325,0.24519802884206882,0.020252359005746484,sub1,variegated
87,0.33122596526672116,0.7218906305572411,0.308086620225732,sub1,variegated
99,0.42062308724970443,0.8437116405394685,0.39415575823527693,sub1,variegated
111,0.49049842261460974,1.061526176975595,0.4653485575246149,sub1,variegated
125,0.5644847812633534,1.1387688056259808,0.5402726212052833,sub1,variegated
144,0.6471094641788653,1.2532939966754328,0.618284945310561,sub1,variegated
159,0.9045325552286575,1.5314304243625172,0.8770915361389203,sub1,variegated
176,0.9590161607981355,1.598174658573603,0.9313188990190147,sub1,variegated
188,1.0,1.6573528444282866,0.972766997437104,sub1,variegated
73,0.42150827420672854,0.48281295009952513,0.41022864742936677,sub1,homogeneous
79,0.4295049559464032,0.4926977807908337,0.41892545771546635,sub1,homogeneous
87,0.49455512054075157,0.5574516653253921,0.4847243422755079,sub1,homogeneous
99,0.5598683783519988,0.6231035544612631,0.5502733335159078,sub1,homogeneous
111,0.6307987942697514,0.7029366563162837,0.6208872693169848,sub1,homogeneous
125,0.6401082304975376,0.7523918259100079,0.6284023231695453,sub1,homogeneous
144,0.7788424817281892,0.889771349695247,0.7661029917101755,sub1,homogeneous
159,0.9593320714186423,1.0749264775132734,0.8399855099532579,sub1,homogeneous
176,0.9848941534488972,1.1106475175752706,0.971284132777876,sub1,homogeneous
188,1.0,1.1661428244176204,0.9866382966028834,sub1,homogeneous
73,-0.018825609221585226,0.013528274792937054,-0.06124021469326561,sub2,variegated
79,0.04593682888689993,0.08570781762732332,0.01596524777692323,sub2,variegated
87,0.1263367520897621,0.1913206572125017,0.09410965983721116,sub2,variegated
99,0.2625102520228136,0.5401763999986067,0.22432753192214086,sub2,variegated
111,0.34370563514216446,0.6310770011499043,0.3056795159977488,sub2,variegated
125,0.6471954947731807,0.9554329062074576,0.6174014862263758,sub2,variegated
144,0.7676088665395004,1.2540626130801522,0.7295539881365799,sub2,variegated
159,0.8768823262941523,1.3865431137943773,0.8389378063399227,sub2,variegated
176,0.9430303724836087,1.4598223057535857,0.904778270752824,sub2,variegated
188,1.0,1.541526051671861,0.9602943488507196,sub2,variegated
73,0.34281019602423285,0.5660414587654912,0.32470601572634455,sub2,homogeneous
79,0.3657004102284313,0.6022302436127217,0.34787339802727285,sub2,homogeneous
87,0.3879857167430501,0.6831168236099923,0.37063883053020347,sub2,homogeneous
99,0.40557792927705494,0.708467539489161,0.3883936004141424,sub2,homogeneous
111,0.5009133798826857,0.8105140502427463,0.4858089611513535,sub2,homogeneous
125,0.5908564013958377,0.9037265177925344,0.576525835647838,sub2,homogeneous
144,0.6995902757151011,1.017757392206279,0.6872081540928312,sub2,homogeneous
159,0.9600623106831633,1.3258259137644923,0.9405180653554821,sub2,homogeneous
176,0.977282253635482,1.3471279013540929,0.9623566741189337,sub2,homogeneous
188,1.0,1.3941694654148549,0.9866694504286553,sub2,homogeneous
73,0.15703278028340428,0.2804440729048906,0.13838356196569987,sub3,variegated
79,0.301384071948221,0.4420978497259223,0.28603157052586287,sub3,variegated
87,0.4467192338158514,0.5927741669465015,0.43767391008251966,sub3,variegated
99,0.6077059786149004,0.8496733646002012,0.5916538249620577,sub3,variegated
111,0.7369009601865352,0.985372566575647,0.7245696649934676,sub3,variegated
125,0.8732277746698898,1.1330588214770299,0.8634923156449816,sub3,variegated
144,0.9143825113946019,1.2627263130678439,0.9041970071599672,sub3,variegated
159,0.9487943869992157,1.3183280825150803,0.9384230569116997,sub3,variegated
176,0.9837728122355639,1.424705002195252,0.9749383387692437,sub3,variegated
188,1.0,1.4457679966146282,0.9909063627375638,sub3,variegated
73,0.48692154301061247,0.5739097371875068,0.4737833889597771,sub3,homogeneous
79,0.49532627784523914,0.5822437107920901,0.4835011900784615,sub3,homogeneous
87,0.6170093454656297,0.7106675264063257,0.5685555978668421,sub3,homogeneous
99,0.6350401191038514,0.7397254219596568,0.6009424596748566,sub3,homogeneous
111,0.6564161171593512,0.8095293221696471,0.6471521369802012,sub3,homogeneous
125,0.7333371067531836,0.8893957821193365,0.7252808190205577,sub3,homogeneous
144,0.8212581765379295,0.9912379430773631,0.8106671852598123,sub3,homogeneous
159,0.8984891606500351,1.0711828816634836,0.888480618429261,sub3,homogeneous
176,0.9758729595982503,1.1507816205163919,0.9659579787513256,sub3,homogeneous
188,1.0,1.1882540176292922,0.988396126774123,sub3,homogeneous
73,-0.04696212838966669,-1.9317534331591744e-16,-0.317309209909149,sub4,variegated
79,0.3840252674612713,0.6697347939791892,0.3270448761812247,sub4,variegated
87,0.4609589223553162,0.7538053126545968,0.4162842588797267,sub4,variegated
99,0.5386020215343938,0.8424688576518639,0.49594379486809237,sub4,variegated
111,0.6379086887119386,0.9655024419191344,0.5945040006703594,sub4,variegated
125,0.7666611982862312,1.3027135781943062,0.7215412409912276,sub4,variegated
144,0.8446288970507028,1.409158827427854,0.8011569791989607,sub4,variegated
159,0.8890994496804334,1.4638326500871766,0.8440219013257282,sub4,variegated
176,0.9521318816736527,1.5367963393298514,0.9109553797372161,sub4,variegated
188,1.0,1.5880978403379802,0.9597773010602128,sub4,variegated
73,0.4149313868585429,0.5849773367935271,0.39595563298154296,sub4,homogeneous
79,0.41999347197195974,0.5879026579755268,0.40094101319780434,sub4,homogeneous
87,0.5054379254700802,0.67555762261429,0.48792652615875576,sub4,homogeneous
99,0.5902162969653917,0.7643968372091219,0.5729374094595651,sub4,homogeneous
111,0.682659740246274,0.9031006307619075,0.6651267552561696,sub4,homogeneous
125,0.7671029807677495,0.9900372164571425,0.7494418271021732,sub4,homogeneous
144,0.8059958485797527,1.1022726228214967,0.7860564984652596,sub4,homogeneous
159,0.8912371273731735,1.1901695280755058,0.8725074433245751,sub4,homogeneous
176,0.976890637160263,1.2792214039797891,0.9598960093150611,sub4,homogeneous
188,1.0,1.3104971658482012,0.9841754596019562,sub4,homogeneous
73,0.01773927208465319,0.08517562924305777,-0.049477871951350595,sub5,variegated
79,0.14740467688251854,0.32106274765355364,0.09176492510506205,sub5,variegated
87,0.30615061970215646,0.728182112606557,0.2461773397221482,sub5,variegated
99,0.44371728039005187,0.9143065786220683,0.38159257319995793,sub5,variegated
111,0.5018709727645784,0.9726046643380188,0.43908362430101894,sub5,variegated
