"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.67738532470974,3.41380702782825,2.18636876078282
"S3",4.17473762985826,5.07312773076013,3.58758648482913
"S4",6.30627140132519,7.59591553457374,5.50335347554645
"S5",7.8522033530878,9.40072904079529,6.91037589069089
"S6",8.58199436589333,10.2485114686566,7.54298005450926
"S7",9.07046750158901,10.8229173098721,7.96638509718834
"S8",9.48813091465126,11.2992714887319,8.35295333307811
"S9",9.71411296661121,11.5880551069651,8.5401051411787
"S10",9.89409325584307,11.9034018453939,8.63966089646622
