"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.39924183875062,1.98432227795069,0.970738796206584
"S3",2.64797080002584,3.42757228271508,2.1691353402111
"S4",5.22142397080802,6.4642692725405,4.53190845013487
"S5",6.0520416746492,7.50231236472337,5.29714175937317
"S6",6.54116578932101,8.08587625279351,5.71040558633064
"S7",6.95287706037552,8.56948609676862,6.10089737896036
"S8",7.44804657955949,9.15217368300365,6.58182979953426
"S9",7.75178547102352,9.47675770367954,6.84161452703794
"S10",8.10176612316132,9.97037528420285,7.11978724372645
