"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.22152930695602,4.29558012966256,2.67043888287134
"S3",4.27453129467241,5.44575991284436,3.70984299689573
"S4",7.45349464691663,9.50099412048864,6.58629285434466
"S5",7.84919814320797,9.97621871639218,6.93784619779873
"S6",8.24990931562081,10.5068014296248,7.27570667124649
"S7",8.59719710714842,10.8689665878312,7.58147320778143
"S8",9.01239565671129,11.3621039949461,7.98373241501139
"S9",9.37220721678613,11.7878064398224,8.3131684596048
"S10",9.56171118675859,11.9863800084919,8.40077548995717
