"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.33763162658391,1.76590739004253,0.998184284797524
"S3",4.11252304872854,4.84036347567885,3.69105898320415
"S4",4.31297906910644,5.11144164907931,3.89153121376217
"S5",4.73994198099341,5.58351613971939,4.2641789962751
"S6",5.00404244602207,5.94799252641021,4.50229815343972
"S7",5.49581593755163,6.48918658137806,4.97470187011056
"S8",6.09760170589295,7.20086311925476,5.54104772139898
"S9",7.77521199913101,9.1356704996399,7.05742192876072
"S10",8.98995060754365,10.5349745481873,8.17596723436538
