"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.59805240933421,2.08061334010267,1.22877438830104
"S3",4.41891584519111,5.24871086215508,3.93437168273705
"S4",4.62908855582452,5.50472798990759,4.1140798085984
"S5",5.00311336819223,5.9180268183303,4.46008019926446
"S6",5.41562132189762,6.41973372921277,4.85082550995367
"S7",5.72414879101864,6.82493097118625,5.13304584745517
"S8",6.5254679679108,7.7329703011937,5.82358391765545
"S9",8.16643704035678,9.63289719072851,7.38714392955374
"S10",9.24752366854386,10.921642590161,8.32389699405099
