"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.77232495823629,2.21686905415147,1.42156872649461
"S3",4.37347997761011,5.15648826543047,3.89157513306452
"S4",4.57584065852078,5.4269795258093,4.04116991896182
"S5",4.74050798942049,5.61195667036079,4.20020649507392
"S6",4.78397309511479,5.65357539072079,4.22308778311753
"S7",4.95648470952683,5.9220576251221,4.37646216379853
"S8",5.37480844915215,6.42223504196203,4.74804385984308
"S9",7.03028066453374,8.26634098380099,6.26281224931163
"S10",9.13885850321976,10.7801385834397,8.18087425481901
