"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.6502350361764,4.27545316919582,3.24195338806274
"S3",4.82793985821135,5.58870702161494,4.34600750281586
"S4",5.85626122792041,6.80606190413898,5.24291229924526
"S5",6.65186289107803,7.70129796771303,6.01117537257832
"S6",7.33874402020462,8.48336608489021,6.65544010040502
"S7",7.77144246784512,9.02160210753355,7.03036011472866
"S8",8.41985566243768,9.71167925606316,7.61687793772668
"S9",9.0510664200803,10.4600798220442,8.22286415662021
"S10",9.30397151154432,10.793087793215,8.4315779342889
