"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.77553419121462,2.50067952896314,1.2976756722763
"S3",2.62208710073495,3.43815566598298,2.06559316163328
"S4",5.3329000306677,6.63522342311186,4.60918787083985
"S5",6.39842030753254,7.91724881376266,5.5572008727056
"S6",6.72378093855626,8.3590710800475,5.84284742781272
"S7",7.18466316777069,8.92702894978654,6.25319877053903
"S8",7.64789372551011,9.45151295589424,6.67502619872802
"S9",7.76256763832922,9.56808947869113,6.75151743864818
"S10",8.31416620590826,10.270698230543,7.25644785514518
