"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.72676042318343,2.2651819119345,1.35733193730838
"S3",2.56543554311338,3.33724410759369,2.06451569359786
"S4",3.39043141182003,4.36153800984395,2.77687483078916
"S5",6.18784246453084,7.76488622334575,5.32315410159515
"S6",7.29137653970279,9.11765429994562,6.2697297811804
"S7",7.74572345123785,9.68010819331613,6.66125114530025
"S8",7.9230981854253,9.90945241429748,6.76491314673619
"S9",8.41153620988208,10.5240638713754,7.24922596740566
"S10",8.68517322681585,10.921463188209,7.39227997158636
