"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.33150026877372,2.95602129545029,1.97975575111711
"S3",3.50795396580698,4.37932768815531,3.02769334619985
"S4",4.5323765752196,5.61367862601248,3.96300601678004
"S5",5.98527662972884,7.3953521779425,5.27273248562596
"S6",8.71522860005963,10.6961031849854,7.73911151723527
"S7",9.62162468268745,11.7417449302092,8.55742355398071
"S8",9.80228767279947,12.0071273433212,8.68500092398428
"S9",10.0775344735149,12.3550015005589,8.94356710045532
"S10",10.3557010088293,12.6704754193475,9.0779443337838
