"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.75359281337012,3.51165828621683,2.29260001103829
"S3",4.24698169364532,5.2094738944452,3.67138827351871
"S4",6.15612634582235,7.53366844256848,5.35669103513166
"S5",7.64221941479962,9.29902309985044,6.68161675309232
"S6",8.46624875137149,10.2851753998558,7.40500626044828
"S7",9.01251238132082,10.916658834118,7.92684841782738
"S8",9.33438249469205,11.3277703055116,8.18444008357501
"S9",9.72174587945686,11.8177803301581,8.53364952860244
"S10",9.8727928963351,12.0222419746517,8.66138245583775
