"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.83651457708789,3.58660881285914,2.32760269356726
"S3",4.15460041369382,5.06384331921735,3.58083348268928
"S4",6.19446824898774,7.53494696843389,5.38556194914674
"S5",7.61405832096757,9.18600793813028,6.67501619867813
"S6",8.35782875867773,10.0356490997775,7.29334237641225
"S7",8.80423315050084,10.5783022178387,7.75661642563104
"S8",9.03508314980345,10.8722667933672,7.96752638852825
"S9",9.38690490693757,11.2662334068117,8.23878606817476
"S10",9.45748323545212,11.452369711412,8.22887304798734
