"","pscale","high_boot","low_boot"
"",0,0,0
"S2",2.55444019379872,3.3291253456588,2.07986624784634
"S3",4.07645961019698,5.06447040393855,3.50918371447988
"S4",6.10761621499321,7.55190831079039,5.34797437821839
"S5",7.74399498028325,9.54561678483226,6.81010902158193
"S6",8.49478723238882,10.3141779876902,7.47970100653017
"S7",9.04872356401886,10.9516787133372,8.0289335911588
"S8",9.3623518769716,11.358758266595,8.27442519356528
"S9",9.49968333012618,11.5263782431337,8.39845026240481
"S10",9.74903745496493,11.877184019893,8.59703603997374
