"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.85960239755456,4.53221709262016,3.4279600711704
"S3",5.40889347769859,6.29325073985586,4.85447359519852
"S4",6.40047493410282,7.44155109771367,5.74990391450758
"S5",7.39659244506616,8.57920340419158,6.65841183155988
"S6",8.03055012981892,9.3268876038766,7.23111345796355
"S7",8.83083343163266,10.1993961422253,7.94805962895042
"S8",9.4123464161164,10.8601299518704,8.48502882776104
"S9",9.91510020712441,11.4367044924309,8.9085176205072
"S10",10.5132991764148,12.2038811869306,9.4258411700085
