"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.53871563689284,1.94307560478463,1.21665170918111
"S3",4.06714105307623,4.79051801840774,3.62557632635242
"S4",4.14493829421137,4.88952580060731,3.69026240889748
"S5",4.28868208941503,5.05239647209973,3.82167512311727
"S6",4.36328972410284,5.17680666210317,3.86481433632843
"S7",4.54590219212221,5.3872502605113,4.04023847578831
"S8",4.89155127633802,5.7622368278263,4.34409844358166
"S9",6.36248900456078,7.47145351976719,5.68091677129018
"S10",8.39667984130796,9.78672396392677,7.52197609105823
