"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.58563024632203,4.2103562407307,3.14952386036486
"S3",5.16145191480618,5.9840940260847,4.59265237612747
"S4",6.13112720804507,7.05006763804052,5.50711062093692
"S5",6.9752522369679,8.00135658336421,6.22796779937256
"S6",7.65538507188461,8.78737520114011,6.87396411827504
"S7",8.31550406295979,9.52458339757402,7.46116743713787
"S8",8.87515545402445,10.137007701314,7.97152548782528
"S9",9.32966945944856,10.6903534614599,8.36236391946895
"S10",9.7885515389045,11.2223636012477,8.78575790712173
