"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.46004706517316,1.88724909008991,1.12579158006667
"S3",4.177544605297,4.88340271995695,3.75714126245025
"S4",4.32418025336509,5.00942499331286,3.87220643585606
"S5",4.67340923977856,5.4474978612669,4.19307035411862
"S6",5.05975035489631,5.88281469489792,4.54855657685965
"S7",5.34973126650809,6.24523501879327,4.79953024570747
"S8",6.15352112244567,7.16173701756208,5.53738969582875
"S9",7.57105943025578,8.73572044247604,6.86271366622919
"S10",8.4865898694127,9.76838377101759,7.62421915747907
