"","pscale","high_boot","low_boot"
"",0,0,0
"S2",0.312263409170026,1.24017636661274,-0.128371956183719
"S3",0.37117971520425,1.16477953645274,0.267515564109174
"S4",9.94682801854749,9.07826313641656,7.3597915784794
"S5",10.8144691805592,10.1545216720123,8.02074483555481
"S6",11.1073963222391,10.5071547216868,8.25436646602824
"S7",11.4537609461523,10.9312933568506,8.54089874155848
"S8",11.6546823325651,11.2075444689568,8.70390143004875
"S9",11.7919594580249,11.4337050261411,8.76509312218827
"S10",12.0570549308484,11.8539125541848,8.9117900273249
