"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.3148057010997,3.92867045637869,2.93262674169152
"S3",4.43960183804938,5.23552306244916,4.01733668957544
"S4",5.33230424829848,6.26510415508304,4.82777497021834
"S5",6.25899184188279,7.40412956006431,5.6599021651272
"S6",7.91274703824275,9.2522963569759,7.20884500201643
"S7",8.84464259439726,10.4032154458637,8.04304285931853
"S8",9.30085779329277,10.891869873034,8.46583571941928
"S9",9.74009613669804,11.365534393532,8.85111995533383
"S10",10.559536878397,12.311343367752,9.56939075229358
