"","pscale","high_boot","low_boot"
"",0,0,0
"S2",0.131167412239419,0.847809019938254,-0.295623153383843
"S3",0.262334824478839,0.853996806909163,0.250100115613392
"S4",9.83909800345921,8.87023780022254,7.23304906766493
"S5",10.8472164307532,10.1505143007678,8.03292321767436
"S6",11.1069881297401,10.4528918714903,8.22485118642106
"S7",11.2266569143955,10.6497491380071,8.29753420200416
"S8",11.4822609294702,11.0243920183899,8.50697224568029
"S9",11.6670508558964,11.2015685137603,8.5960668133532
"S10",11.9767768577351,11.6266047713878,8.82433100725698
