resp,S1,S2,S3
0,0,5,10
1,0,5,15
0,0,5,20
1,0,5,35
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,65
0,0,10,15
0,0,10,20
0,0,10,35
0,0,10,45
1,0,10,50
1,0,10,55
1,0,10,65
0,0,15,20
0,0,15,35
0,0,15,45
0,0,15,50
0,0,15,55
1,0,15,65
0,0,20,35
0,0,20,45
0,0,20,50
0,0,20,55
0,0,20,65
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,65
0,0,45,50
0,0,45,55
0,0,45,65
0,0,50,55
0,0,50,65
0,0,55,65
0,5,10,15
1,5,10,20
1,5,10,35
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,65
0,5,15,20
0,5,15,35
1,5,15,45
0,5,15,50
1,5,15,55
1,5,15,65
0,5,20,35
1,5,20,45
0,5,20,50
1,5,20,55
1,5,20,65
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,65
0,5,45,50
0,5,45,55
0,5,45,65
0,5,50,55
0,5,50,65
0,5,55,65
1,10,15,20
1,10,15,35
1,10,15,45
1,10,15,50
1,10,15,55
1,10,15,65
1,10,20,35
1,10,20,45
1,10,20,50
0,10,20,55
1,10,20,65
0,10,35,45
0,10,35,50
0,10,35,55
0,10,35,65
0,10,45,50
0,10,45,55
0,10,45,65
0,10,50,55
0,10,50,65
0,10,55,65
1,15,20,35
1,15,20,45
1,15,20,50
1,15,20,55
1,15,20,65
0,15,35,45
0,15,35,50
0,15,35,55
0,15,35,65
0,15,45,50
0,15,45,55
0,15,45,65
0,15,50,55
0,15,50,65
0,15,55,65
0,20,35,45
0,20,35,50
1,20,35,55
1,20,35,65
0,20,45,50
0,20,45,55
0,20,45,65
0,20,50,55
0,20,50,65
0,20,55,65
0,35,45,50
1,35,45,55
1,35,45,65
0,35,50,55
0,35,50,65
0,35,55,65
1,45,50,55
1,45,50,65
1,45,55,65
0,50,55,65
0,0,5,10
0,0,5,15
1,0,5,20
1,0,5,35
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,65
0,0,10,15
0,0,10,20
0,0,10,35
0,0,10,45
1,0,10,50
0,0,10,55
1,0,10,65
0,0,15,20
0,0,15,35
0,0,15,45
0,0,15,50
1,0,15,55
0,0,15,65
0,0,20,35
0,0,20,45
0,0,20,50
0,0,20,55
0,0,20,65
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,65
0,0,45,50
0,0,45,55
0,0,45,65
0,0,50,55
0,0,50,65
0,0,55,65
1,5,10,15
1,5,10,20
1,5,10,35
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,65
0,5,15,20
1,5,15,35
1,5,15,45
1,5,15,50
1,5,15,55
1,5,15,65
0,5,20,35
1,5,20,45
0,5,20,50
0,5,20,55
1,5,20,65
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,65
0,5,45,50
0,5,45,55
0,5,45,65
0,5,50,55
0,5,50,65
0,5,55,65
0,10,15,20
1,10,15,35
1,10,15,45
1,10,15,50
1,10,15,55
1,10,15,65
0,10,20,35
1,10,20,45
