"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.1269004459212,1.59137528220602,0.766820867168993
"S3",2.04349693512954,2.71164326517213,1.54900817287506
"S4",3.01898563734016,3.91527540093169,2.45965927466682
"S5",5.58392931218793,6.97014013777841,4.82245460210019
"S6",6.60577086229355,8.27766449190155,5.69502913054606
"S7",6.95911003126664,8.7015991222123,5.98673324774808
"S8",7.20320606605167,9.04832970540532,6.2241745709536
"S9",7.76499775512941,9.68874324972187,6.7174492476433
"S10",7.99522813638203,10.0530172141221,6.86246838561638
