"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.45977983779769,2.107172847522,1.01867713608844
"S3",2.5642516541218,3.35126845118956,2.06084575241928
"S4",5.23832750433445,6.54196899644298,4.55693023952226
"S5",6.19423403724919,7.67512057090422,5.43014396974505
"S6",6.6259705521133,8.17119228089742,5.79521836836469
"S7",7.06218564125572,8.69308214979728,6.18585690178139
"S8",7.45105351849447,9.15579999463685,6.53110796630007
"S9",7.73651823376273,9.47464542797008,6.79798869573639
"S10",8.08565608028289,10.0666674455622,7.01926844823032
