"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.78283532911097,2.19754060722222,1.47436888579448
"S3",3.98898426828004,4.63786251683594,3.56950803505251
"S4",4.23305067405559,4.95341959258205,3.78117679916406
"S5",4.42997964957987,5.14729732192269,3.93044562296264
"S6",4.5388181506737,5.30254889051501,4.01659440318508
"S7",4.67344156530236,5.43615664266829,4.12133646613372
"S8",4.92891047424494,5.77075832483468,4.39409256286861
"S9",6.39160399390241,7.40761004329115,5.72635714229741
"S10",8.28446013085732,9.6490033061732,7.41321125075742
