"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.4121675266881,4.07695792390923,3.03026958665403
"S3",4.57615095019801,5.41989743928669,4.08977230421378
"S4",5.42734113085953,6.43712092031284,4.83892788778788
"S5",6.29692219423708,7.4567188994696,5.6223068188951
"S6",7.94046256683697,9.33212494453822,7.17689607546448
"S7",9.03173012480314,10.5649937751562,8.13960136374996
"S8",9.30528589518325,10.8886357677356,8.3628343169779
"S9",9.83206049687266,11.5456480165758,8.82464966753039
"S10",10.4518416412047,12.2345442382076,9.33874292386358
