"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.66767307666128,2.19153181598536,1.21890387728044
"S3",5.11217940520963,6.09965104413625,4.54100949905802
"S4",5.54070403648152,6.61607497647208,4.96580542333073
"S5",5.91750148273495,7.05394190748338,5.30373695810385
"S6",6.40270659877092,7.57974355615415,5.72062540956859
"S7",6.81511366933564,8.09629187260564,6.0864929624383
"S8",7.82842364530062,9.27277790607435,7.01526443770099
"S9",9.64532094690898,11.3606856945937,8.69832222975212
"S10",11.0497986122795,13.0994700461893,9.92325096005961
