"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.85907082655503,4.64153375057096,3.4130341410241
"S3",5.15259563119891,6.17237971219543,4.60315588049318
"S4",6.22201238158951,7.43074335268622,5.56732441118601
"S5",6.985233425646,8.37277430273891,6.25091612723008
"S6",8.91627418476915,10.5320678849276,8.02330082612273
"S7",10.048971958802,11.8848216738439,9.04724582177271
"S8",10.4987646939885,12.4673599512458,9.41145677460174
"S9",11.0859014429808,13.1369440360083,9.95467465042267
"S10",11.8751779561831,14.0619019575001,10.6742411150749
