"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.13584761822586,1.57445666946507,0.785244954525142
"S3",4.04722107527578,4.78305595705826,3.64582936531486
"S4",4.36787753129125,5.19204938748016,3.92859350830518
"S5",4.57128493475928,5.41605116506615,4.08858050711947
"S6",5.01508964219044,5.93252163478548,4.48963020882214
"S7",5.25306618705827,6.21759996664555,4.74274051267462
"S8",5.90918710377853,6.98162719503729,5.31109987506623
"S9",7.60985805471343,8.95359944586993,6.88686787373563
"S10",8.39447764573831,9.88768292888747,7.57683981515623
