"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.56860868482119,1.99877540944658,1.28625823390494
"S3",3.95874508397885,4.6780676810971,3.53862222361951
"S4",4.11771569666695,4.87327979176517,3.66317934277741
"S5",4.21140723644147,4.99823389412747,3.74530870629954
"S6",4.31543517326155,5.13706810368626,3.83865151584734
"S7",4.55326248458379,5.38428514629379,4.02340908446449
"S8",4.85867740427836,5.78524742315498,4.30286883989656
"S9",6.37208044076189,7.47426675144015,5.67961093253637
"S10",8.30568497909698,9.7670066113798,7.46714243170187
