"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.71373500114476,4.36320072554142,3.26643825624387
"S3",5.29021111242417,6.11897567010414,4.72873009345776
"S4",6.4007039869816,7.3905643281208,5.72902639688262
"S5",7.27290360471436,8.35259305193822,6.49060626008669
"S6",8.03864585541054,9.20162192018101,7.19834404628644
"S7",8.70975228918572,9.96591529925554,7.83102840308456
"S8",9.24955706367911,10.5915243031584,8.27659243944232
"S9",9.84579891948115,11.313676808286,8.86646008600075
"S10",10.5068912589144,12.0394423572066,9.43516630809123
