"","pscale","high_boot","low_boot"
"",0,0,0
"S2",1.73544092242167,2.3375201623605,1.32893360226343
"S3",2.84876928871969,3.81187529389695,2.31492690365651
"S4",3.95466476654166,5.13474054408781,3.28253414045042
"S5",7.06988026833411,8.9731081198988,6.06629440908668
"S6",8.34553677631907,10.6230554894012,7.18178676998558
"S7",8.96133345170813,11.3626725036594,7.73225021478532
"S8",9.28100722612572,11.7937380192585,7.97005484458267
"S9",9.73350404246182,12.3226174869177,8.37682994113453
"S10",10.1761351396552,12.9576137071923,8.70392833406227
