"","pscale","high_boot","low_boot"
"",0,0,0
"S2",3.11930834317575,3.95686259288033,2.59836524196747
"S3",4.70107645701877,5.75542344189266,4.06067242701559
"S4",7.04151767993829,8.55783501860622,6.19846496338698
"S5",8.63228595555728,10.4998356254013,7.58905545066219
"S6",9.51550920069431,11.4730527147747,8.37575904577015
"S7",9.98443884445028,12.0314510164423,8.8319643009331
"S8",10.4422672514594,12.578429083405,9.27036045254299
"S9",10.74782656027,12.9238345056581,9.537067088357
"S10",11.0299894504845,13.3131936859488,9.70680216547313
